Textbox36,TipoLC,citName,Textbox39,Textbox37,Textbox40,FechaCierre1,Textbox38,rbiDescription,rbiGoodAndService,Unidad_de_Medida,Cantidad,ProductoName,Level1,Level2,Level3
2730-63-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CASTRO,Reparacion de motoniveladora Jhon Deere. ,25/06/2019 12:58:10,03/07/2019 17:15:00,1,1,1,1,1,1,1,1,1
2730-67-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CASTRO,MATERIALES DE FERRETERIA 2,28/06/2019 17:10:37,05/07/2019 16:19:00,1,1,1,1,1,1,1,1,1
2805-14-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Llanquihue,ADQUISICIoN Y/O CONFECCIoN DE BASES METaLICAS PROGRAMA GES 60 AÑOS ,05/06/2019 16:51:00,05/07/2019 17:30:00,1,1,1,1,1,1,1,1,1
2805-15-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Llanquihue,INSUMOS MeDICOS 2DO. TRIMESTRE 2019,25/06/2019 16:28:00,03/07/2019 12:00:00,34,34,34,34,34,34,34,34,34
2805-16-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Llanquihue,MEDICAMENTOS FARMACIA COMUNITARIA JUNIO 2019,02/07/2019 16:51:35,09/07/2019 17:00:00,49,49,49,49,49,49,49,49,49
2852-54-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,"MEJORAMIENTO CALLE TERRAPLEN, PUERTO VARAS",14/06/2019 13:24:00,04/07/2019 11:09:00,1,1,1,1,1,1,1,1,1
2852-55-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,"MEJORAMIENTO CALLE SAN MARTÍN, PUERTO VARAS",14/06/2019 15:53:00,04/07/2019 12:36:00,1,1,1,1,1,1,1,1,1
2852-57-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,EJECUCIoN DEL PROYECTO HABITABILIDAD  CHILE SOLIDARIO 2018 - 2019”,25/06/2019 11:22:35,05/07/2019 19:54:00,1,1,1,1,1,1,1,1,1
2852-58-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,CONVENIO DE SUMINISTRO DE SUPERMERCADO,25/06/2019 16:32:00,05/07/2019 09:12:00,1,1,1,1,1,1,1,1,1
2852-59-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,CONVENIO DE SUMINISTRO DE FARMACIA DIDECO 2019,26/06/2019 15:53:31,08/07/2019 15:04:00,1,1,1,1,1,1,1,1,1
2852-60-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,"AITO, MEJORAMIENTO CALLE TERRAPLeN",27/06/2019 11:56:04,08/07/2019 16:14:00,1,1,1,1,1,1,1,1,1
2852-61-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,"AITO, MEJORAMIENTO CALLE SAN MARTÍN, PUERTO VARAS ",27/06/2019 12:23:21,08/07/2019 15:03:00,1,1,1,1,1,1,1,1,1
2853-19-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,Adquisicion de leña y Pellets DAEM Pto Varas ,25/06/2019 10:38:08,05/07/2019 11:07:00,3,3,3,3,3,3,3,3,3
2853-20-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,2do llamado Servicio de transporte escolar 2019,25/06/2019 12:57:18,05/07/2019 10:05:00,2,2,2,2,2,2,2,2,2
2853-21-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,Convenio de suministro de Control de plagas,28/06/2019 20:15:50,08/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
2854-21-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,CONVENIO SUMINISTRO INSUMOS CESFAM SAR PTO VARAS,13/06/2019 16:50:00,03/07/2019 17:43:00,235,235,235,235,235,235,235,235,235
2854-22-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,I. Municipalidad de Puerto Varas,ADQUISICIoN MEDICAMENTOS FARMACIA COMUNITARIA PV,01/07/2019 16:57:28,11/07/2019 14:27:00,42,42,42,42,42,42,42,42,42
2863-12-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Puerto Octay,MEDICAMENTOS UAPO,24/06/2019 11:36:01,04/07/2019 17:45:00,20,20,20,20,20,20,20,20,20
2885-51-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PUYEHUE,Estudios Complementarios PTAS Entre Lagos,26/06/2019 16:04:25,18/07/2019 13:00:00,1,1,1,1,1,1,1,1,1
2885-52-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PUYEHUE,REPOSICIoN LUMINARIAS PILMAIQUEN,28/06/2019 12:25:40,18/07/2019 13:00:00,1,1,1,1,1,1,1,1,1
2885-53-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PUYEHUE,OBRAS COMPLEMENTARIAS COSTANERA ENTRE LAGOS,02/07/2019 09:44:52,18/07/2019 13:00:00,1,1,1,1,1,1,1,1,1
2902-37-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE HUALAIHUE,TRANSPORTE ALUMNOS JARDIN CECI TENTELHUE ,24/06/2019 11:47:24,04/07/2019 17:41:00,1,1,1,1,1,1,1,1,1
2904-24-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE HUALAIHUE,Arriendo Mensual de Maquinaria de Construccion,02/07/2019 18:55:45,12/07/2019 16:15:00,4,4,4,4,4,4,4,4,4
2929-83-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Palena,Actualizacion Plan Regulador Comunal de Palena,20/06/2019 11:14:25,10/07/2019 12:14:00,1,1,1,1,1,1,1,1,1
2941-17-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,I. Municipalidad de San Pablo,SERVICIOS DE TRASLADO DEL PERSONAL EJECUTOR DEL PR,01/07/2019 15:57:31,10/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
2943-10-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,I. Municipalidad de San Pablo,CONSTRUCCIoN GRaFICAS ACCESO COMUNA DE SAN PABLO ,25/06/2019 15:56:12,17/07/2019 18:40:00,1,1,1,1,1,1,1,1,1
2989-12-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Los Muermos,ADQUISICIoN EXAMENES ENDOSCOPICOS DIGESTIVOS ALTOS,25/06/2019 12:38:46,05/07/2019 17:00:00,1,1,1,1,1,1,1,1,1
2993-9-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Queilen,ASESORIA A LA INSPECCION TECNICA POSTA SALUD RURAL,27/06/2019 23:17:38,08/07/2019 15:02:00,1,1,1,1,1,1,1,1,1
3289-16-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Policía de Investigaciones de Chile,MANTENCIoN CAJoN BALÍSTICO - LACRIM PTO MONTT,02/07/2019 17:40:52,12/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
3296-11-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,I.  MUNICIPALIDAD CURACO  DE VELEZ,Mejoramiento Recinto Deportivo Huyar Alto,01/07/2019 09:48:00,23/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
3443-25-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PURRANQUE,Reconfiguracion de Camaras y Mejoramiento de Redes,18/06/2019 16:11:00,05/07/2019 12:17:00,1,1,1,1,1,1,1,1,1
3443-27-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PURRANQUE,Mejoramiento Abasto de Agua Potable Maipue.-,28/06/2019 15:23:24,12/07/2019 15:10:00,1,1,1,1,1,1,1,1,1
3443-29-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PURRANQUE,SERVICIO DE GRABACIoN Y EDICIoN DE CaPSULAS AUDIOV,27/06/2019 10:09:00,03/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
3508-49-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CHONCHI,MANTENCION Y REPARACION DE CAMIONES Y OTROS,24/06/2019 17:43:04,05/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
3508-50-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CHONCHI,CONVENIO DE MANTENCION MAQUINARIA PESADA,25/06/2019 09:46:26,05/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
3508-53-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CHONCHI,UNIFORME INSTITUCIONAL I. MUNICIPALIDAD DE CHONCHI,28/06/2019 10:39:12,08/07/2019 17:30:00,1,1,1,1,1,1,1,1,1
3519-8-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,MUNICIPALIDAD DE DALCAHUE,SEGURO CONTRA TODO RIESGO CAMIONETA MUNICIPAL,02/07/2019 13:57:52,10/07/2019 12:30:00,1,1,1,1,1,1,1,1,1
3757-6-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,Ilustre Municipalidad de Quinchao,SERVICIO DE ASEO Y A LA COMUNIDAD 2019 - 2021,11/06/2019 10:20:07,12/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
3770-3-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Quinchao,PROGRAMA HABITABILIDAD COMUNA,24/06/2019 09:19:49,05/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
3850-34-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Rio Bueno,Vitrina para trofeos Liceo Tecnico Profesional,28/06/2019 10:28:46,04/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
387-5-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Ilustre Municipalidad de Los Muermos,Concesion para la Mantencion del Alumbrado Publico,27/06/2019 10:19:00,11/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
3888-38-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de San Juan de la Costa,"Adquisicion de equipamiento para cuatro viviendas del programa habitabilidad, San Juan de la Costa",02/07/2019 11:54:09,10/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
3888-39-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de San Juan de la Costa,MATERIALES PARA VIVIENDAS ,02/07/2019 12:56:32,10/07/2019 16:00:00,1,1,1,1,1,1,1,1,1
3888-40-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de San Juan de la Costa,MATERIALES PARA VIVIENDAS DE EMERGENCIA,02/07/2019 15:40:37,10/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
3897-23-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Ilustre Municipalidad de Futaleufu,CONSTRUCCION PARQUE MUNICIPAL FUTALEUFU - DISEÑO,20/06/2019 15:17:00,17/07/2019 15:06:00,1,1,1,1,1,1,1,1,1
3926-37-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de San Juan de la Costa,"CTTO. SUMINISTROS MANTENCION, REPARACION Y REPUESTOS MECANICOS Y ELECTRICOS PARA VEHICULOS DEL DPTO. SALUD MUNICIPAL. ",25/06/2019 16:49:12,05/07/2019 17:45:00,2,2,2,2,2,2,2,2,2
3950-28-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Direccion de Salud Rural,Reparaciones en Casa de la Mujer Campesina,26/06/2019 16:04:01,08/07/2019 16:20:00,1,1,1,1,1,1,1,1,1
3950-29-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Direccion de Salud Rural,Construccion de un Muro de Escalada Proyecto Villa Ortega se Mueve por su Salud,26/06/2019 09:57:28,08/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
4037-57-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Fresia,INSUMOS OPD PUBLICIDAD Y DIFUSION ,01/07/2019 14:08:39,08/07/2019 15:17:00,8,8,8,8,8,8,8,8,8
4037-70-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,Ilustre Municipalidad de Fresia,"REPOSICIoN POSTA DE SALUD RURAL EL TRAIGUEN, FRESIA",10/06/2019 15:50:42,11/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
4037-72-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Ilustre Municipalidad de Fresia,CONSERVACIoN EDIFICIO DAEM,19/06/2019 16:18:24,09/07/2019 14:00:00,1,1,1,1,1,1,1,1,1
4037-77-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Fresia,REPOSICIoN Y HABILITACIoN DE RECINTOS CLUB DE RODEO.  ,28/06/2019 14:15:49,09/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
4041-23-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Fresia,MATERIALES SERVICIOS HIGIeNICOS LICEO CIC FAEP,26/06/2019 15:10:32,04/07/2019 16:49:00,6,6,6,6,6,6,6,6,6
4041-24-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Fresia,MATERIALES VARIOS TALLER CIRCO TEATRO LICEO CIC,27/06/2019 11:11:56,04/07/2019 12:57:00,9,9,9,9,9,9,9,9,9
4086-102-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,MATERIALES DE CONSTRUCCION,28/06/2019 16:14:55,04/07/2019 16:53:00,4,4,4,4,4,4,4,4,4
4086-103-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,ADQUISICIoN DE HERRAMIENTAS,28/06/2019 15:39:07,04/07/2019 09:00:00,1,1,1,1,1,1,1,1,1
4086-104-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,ADQUISICIoN DE MATERIALES DE CONSTRUCCIoN,28/06/2019 16:12:27,04/07/2019 09:00:00,1,1,1,1,1,1,1,1,1
4086-105-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,SERVICIO DE TALLER DE BOXEO,01/07/2019 10:08:29,08/07/2019 15:01:00,1,1,1,1,1,1,1,1,1
4086-106-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,SERVICIO DE TALLER DE CUECA,01/07/2019 10:19:31,08/07/2019 15:01:00,1,1,1,1,1,1,1,1,1
4090-27-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,FARMACOS E INSUMOS PARA FARMACIA DESAM MAULLIN,27/06/2019 12:44:38,03/07/2019 12:15:00,30,30,30,30,30,30,30,30,30
4090-28-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,COMBUSTIBLE PARA CALEFACCIoN CESFAM CARELMAPU,01/07/2019 16:53:17,08/07/2019 18:27:00,1,1,1,1,1,1,1,1,1
4091-39-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE MAULLIN,"TEXTO DE INGLES, ESC FCO CORTES -SEP",25/06/2019 12:24:28,03/07/2019 14:03:00,1,1,1,1,1,1,1,1,1
4195-73-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Quemchi,POLERAS DRY FIT,25/06/2019 13:04:29,05/07/2019 14:54:00,1,1,1,1,1,1,1,1,1
4195-77-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Quemchi,"MANTENCION APR SECTOR QUELER,ISLA CAUCAHUE.",28/06/2019 10:22:14,08/07/2019 15:01:00,1,1,1,1,1,1,1,1,1
4197-26-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Quemchi,MEDICAMENTOS RED ESTABLECIOMIENTOS RED SALUD QUEMC,01/07/2019 16:02:46,09/07/2019 16:15:00,86,86,86,86,86,86,86,86,86
4197-27-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Quemchi,ELABORACIoN PROYECTO AGUA POTABLE POSTA VOIGUE,01/07/2019 11:34:56,08/07/2019 15:26:00,1,1,1,1,1,1,1,1,1
4215-5-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Direccion General de Aeronautica Civil,ADQUISICIoN DE PRODUCTOS FARMACeUTICOS PARA CLÍNICA DENTAL DE PUERTO MONTT  ,28/06/2019 15:57:22,09/07/2019 16:00:00,21,21,21,21,21,21,21,21,21
4230-6-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Carabineros de Chile,ADQUISICION 279 CHALECOS REFLEC Y 279 FUNDA N.A.,19/06/2019 17:31:00,03/07/2019 16:00:00,2,2,2,2,2,2,2,2,2
4230-7-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Carabineros de Chile,ADQUISICION 120 CASACAS FRONTERA COLOR VERDE INST.,20/06/2019 16:51:00,04/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
4318-10-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CHONCHI,Construccion Plaza Cucao Comuna de Chonchi,18/06/2019 11:27:00,04/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
4318-8-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE CHONCHI,Construccion Cuartel 2ª Compañía Bomberos Chonchi,05/06/2019 11:09:55,05/07/2019 11:30:00,1,1,1,1,1,1,1,1,1
4644-21-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Corporacion Nacional Forestal - CONAF,MOVIMIENTO DE TIERRA Y SUMINISTRO DE aRIDOS,02/07/2019 14:47:41,12/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
4832-8-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Ilustre Municipalidad de Cochamo,CONTRATO SERVICIO DE DIFUSION  COMUNA DE COCHAMO,28/06/2019 13:04:23,08/07/2019 19:46:00,1,1,1,1,1,1,1,1,1
4868-4-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio Nacional de Menores,SERVICIO DE TELEVISIoN POR CABLE O SATELITAL,26/06/2019 17:11:04,08/07/2019 20:00:00,1,1,1,1,1,1,1,1,1
4990-15-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,Ilustre Municipalidad de Quemchi,ADQUISICION DE MATERIALES HIDRAULICOS APR TUBILDAD,27/06/2019 08:43:44,03/07/2019 14:00:00,1,1,1,1,1,1,1,1,1
507428-39-LR19,Licitacion Publica Mayor a 5000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,Construccion Servicio Urgencia Alta Resolutividad,09/05/2019 11:55:00,22/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
507428-54-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,ESTUDIO DE DISEÑO HELIPUERTO HOSPITAL DE QUELLoN,19/06/2019 09:36:00,03/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
507428-55-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Servicio de Salud Chiloe,CS SOPORTE MEDICAMENTOS SALUD SEXUAL REPRODUCTIVA,19/06/2019 10:09:51,09/07/2019 12:00:00,9,9,9,9,9,9,9,9,9
507428-58-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,Adquisicion Ambulancia de emergencia Avanzada AEA,18/06/2019 15:22:08,08/07/2019 15:01:00,1,1,1,1,1,1,1,1,1
507428-59-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,CS DE SOPORTE MEDICAMENTOS IRA ERA,25/06/2019 15:53:57,15/07/2019 15:01:00,9,9,9,9,9,9,9,9,9
507428-60-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,CS DE SOPORTE MEDICAMENTOS ARTROSIS,25/06/2019 16:18:14,05/07/2019 12:00:00,3,3,3,3,3,3,3,3,3
507428-61-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,CONVENIO DE MANTENCIoN EQUIPOS SAMU CHILOe,25/06/2019 14:50:52,05/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
507428-62-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Servicio de Salud Chiloe,SERVICIO DE ASEO Y LIMPIEZA EDIFICIO INSTITUCIONAL,14/06/2019 16:34:34,04/07/2019 12:00:00,1,1,1,1,1,1,1,1,1
507428-63-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,SERVICIO DE RETIRO Y ELIMINACIoN DE REAS,25/06/2019 11:23:00,15/07/2019 17:31:00,1,1,1,1,1,1,1,1,1
507428-64-LQ19,Licitacion Publica igual o superior a 2.000 UTM e inferior a 5.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,"Adq.Instalacion,habilitacion sistema Modular",25/06/2019 11:22:50,15/07/2019 15:30:00,1,1,1,1,1,1,1,1,1
507428-65-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,SegundoLlamado Servicios Nefrologicos hemodialisis,24/06/2019 15:47:29,04/07/2019 11:08:00,1,1,1,1,1,1,1,1,1
507428-66-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Servicio de Salud Chiloe,PERITAJES DE TERRENOS VALORIZACIoN COMERCIAL,02/07/2019 16:51:26,12/07/2019 17:00:00,1,1,1,1,1,1,1,1,1
548868-18-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,INSTITUTO DE PREVISION SOCIAL,SERVICIO DE PRENSA Y COMUNICACIONES PARA EL IPS,02/07/2019 12:08:41,15/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
584146-16-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PURRANQUE,CONTROL DE PLAGAS,25/06/2019 15:44:00,05/07/2019 10:06:00,1,1,1,1,1,1,1,1,1
584146-17-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,ILUSTRE MUNICIPALIDAD DE PURRANQUE,ADQUISICION DE LENTES OPTICOS,27/06/2019 16:56:22,08/07/2019 15:04:00,1,1,1,1,1,1,1,1,1
602-100-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,I. Municipalidad de Río Negro,Juegos infantiles Colegio Riachuelo (SP32) ,26/06/2019 16:51:36,03/07/2019 15:00:00,2,2,2,2,2,2,2,2,2
602-103-L119,Licitacion publica inferior a 100 UTM,Region de los Lagos ,I. Municipalidad de Río Negro,Artículos escolares Esc. Ramon Puschell,02/07/2019 10:49:13,08/07/2019 15:00:00,6,6,6,6,6,6,6,6,6
610181-8-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Subsecretaría del Medio Ambiente,Adqusicion de 3 Medidores de Humedad de leña,01/07/2019 19:40:21,11/07/2019 20:00:00,1,1,1,1,1,1,1,1,1
611136-7-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,Subsecretaría del Medio Ambiente,Estudio Prefactibilidad Calefaccion Distrital,25/06/2019 14:36:34,10/07/2019 17:00:00,1,1,1,1,1,1,1,1,1
624891-23-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,Direccion General de Aeronautica Civil,contrato por servicio de aseo y limpieza,17/06/2019 12:43:06,08/07/2019 15:00:00,1,1,1,1,1,1,1,1,1
656-27-LE19,Licitacion Publica igual o superior a 100 UTM e inferior a 1.000 UTM,Region de los Lagos ,SERVIU X Region,P.P. N°25-2019 PPP 28°LLAMADO CALBUCO,13/06/2019 08:10:24,05/07/2019 09:30:00,1,1,1,1,1,1,1,1,1
656-28-LP19,Licitacion Publica igual o superior a 1.000 UTM e inferior a 2.000 UTM (LP),Region de los Lagos ,SERVIU X Region,P.P. N°26-2019 PPP 28 LLAMADO FRESIA,13/06/2019 08:10:49,05/07/2019 10:00:00,1,1,1,1,1,1,1,1,1
